2024-04-28-11-49-44.fit***#slx99***Metzingen***38,16***783***02:00:38***19***FALSE
2024-04-27-14-20-44.fit***#slx99***Metzingen***40,02***816***02:08:12***18,7***FALSE
2024-04-22-17-08-12.fit***#slx99***Metzingen***26,87***523***01:38:03***16,4***FALSE
2024-04-14-14-00-58.fit***#slx99***Metzingen***34,83***648***02:06:20***16,5***FALSE
2024-04-11-17-22-09.fit***#slx99***Metzingen***24,8***502***01:18:15***19***FALSE
2024-04-07-13-47-21.fit***#slx99***Metzingen***34,93***562***01:46:20***19,7***FALSE
2024-04-06-14-31-08.fit***#slx99***Metzingen >> SchlossLichtenstein***51,23***834***02:29:41***20,5***FALSE
2024-03-31-14-52-26.fit***#slx99***Metzingen Ostersonntag***31,54***755***01:47:47***17,6***FALSE
2024-03-29-14-59-42.fit***#slx99***Metzingen***26,68***535***01:25:10***18,8***FALSE
2024-03-19-16-49-08.fit***#slx99***Metzingen***28,32***523***01:30:25***18,8***FALSE
2024-03-14-17-36-24.fit***#slx99***Metzingen***21,58***372***01:12:16***17,9***FALSE
2024-03-10-11-58-29.fit***#slx99***Metzingen***37,17***842***02:16:23***16,4***FALSE
2024-03-08-15-23-51.fit***#slx99***Metzingen***26,41***576***01:31:43***17,3***FALSE
2024-03-03-13-57-32.fit***#slx99***Metzingen***31***713***01:53:48***16,3***FALSE
2024-03-02-14-56-06.fit***#slx99***Metzingen***21,74***426***01:11:36***18,2***FALSE
2024-02-18-12-59-07.fit***#slx99***Metzingen***27,81***674***01:52:22***14,8***FALSE
2024-02-16-15-09-15.fit***#slx99***Metzingen***28,44***535***01:37:00***17,6***FALSE
2024-02-10-15-19-24.fit***#slx99***Metzingen %Regeneration***25,13***168***01:05:22***23,1***FALSE
2024-02-04-14-03-40.fit***#slx99***Metzingen %Regeneration***25,16***157***01:09:26***21,7***FALSE
2024-01-14-15-05-57.fit***#slx99***Metzingen %Regeneration***16,33***209***00:51:49***18,9***FALSE
2024-01-06-12-29-44.fit***#slx99***Mtz >> Pumpspeicher >> BadUrach***49,2***955***02:42:58***18,1***FALSE
2024-01-01-13-08-51.fit***#slx99***Metzingen NEUJAHR 2024***40,22***976***02:31:27***15,9***FALSE
2023-12-30-11-00-42.fit***#slx99***Metzingen %Regeneration***9,35***195***00:34:57***16***FALSE
2023-12-26-14-05-46.fit***#slx99***Metzingen >> SchlossLichtenstein***51,36***826***02:35:42***19,8***FALSE
2023-12-20-18-27-27.fit***#slx99***Metzingen #AWR***23,05***601***01:26:45***15,9***FALSE
2023-12-18-17-11-36.fit***#slx99***Metzingen #AWR***23,07***504***01:16:58***18***FALSE
2023-12-10-11-09-19.fit***#slx99***Metzingen >> Dettingen >> Neuffen >> Kohlberg***34,26***766***01:57:44***17,5***FALSE
2023-12-03-10-53-57.fit***#slx99***Metzingen SCHNEE***26,63***573***01:48:51***14,7***FALSE
2023-11-26-14-18-31.fit***#slx99***Metzingen >> Dttng >> Glems***23,49***520***01:14:50***18,8***FALSE
2023-11-19-13-17-30.fit***#slx99***Metzingen >> Glems***29,01***621***01:35:10***18,3***FALSE
2023-11-18-14-05-26.fit***#slx99***Metzingen >> Dettingen***20,21***349***01:05:43***18,5***FALSE
2023-10-29-14-11-15.fit***#slx99***Großbettlingen >> BurgTeck >> Kohlberg***42,49***918***02:32:11***16,8***FALSE
2023-10-23-11-54-43.fit***#slx99***Großbettlingen >> Albtrauf >> Neuffen***42,08***1021***02:39:29***15,8***FALSE
2023-10-21-10-16-58.fit***#slx99***Lahr/Schwarzwald***23,92***637***01:34:51***15,1***FALSE
2023-10-15-15-19-20.fit***#slx99***Lahr/Schwarzwald***29,05***639***01:39:30***17,5***FALSE
2023-10-13-12-04-38.fit***#slx99***Lahr/Schwarzwald***53,05***1354***03:27:09***15,4***FALSE
2023-10-10-15-17-42.fit***#slx99***Lahr/Schwarzwald***40,14***974***02:20:32***17,1***FALSE
2023-10-04-14-44-05.fit***#slx99***Lahr/Schwarzwald***33,95***585***01:51:23***18,3***FALSE
2023-09-29-15-01-37.fit***#slx99***Lahr/Schwarzwald***47,74***1155***02:51:26***16,7***FALSE
2023-09-26-15-04-27.fit***#slx99***Lahr/Schwarzwald***40,22***920***02:34:31***15,6***FALSE
2023-09-23-16-16-54.fit***#slx99***Lahr/Schwarzwald***18,41***511***01:04:15***17,2***FALSE
2023-09-20-16-42-38.fit***#slx99***Lahr/Schwarzwald***14,59***273***00:50:24***17,4***FALSE
2023-09-10-10-58-41.fit***#slx99***Lahr/Schwarzwald Marathon***74,25***2105***05:09:01***14,4***TRUE
2023-09-07-11-04-05.fit***#slx99***Lahr/Schwarzwald***45,48***1063***02:51:05***15,9***FALSE
2023-08-31-15-13-06.fit***#slx99***Lahr/Schwarzwald***40,11***1074***02:32:53***15,7***FALSE
2023-08-23-10-46-53.fit***#slx99***Lahr/Schwarzwald***23,52***523***01:31:35***15,4***FALSE
2023-08-17-12-32-59.fit***#slx99***Lahr/Schwarzwald***60,15***1615***03:50:21***15,7***FALSE
2023-08-11-13-19-44.fit***#slx99***Lahr/Schwarzwald***42,65***1048***02:41:40***15,8***FALSE
2023-08-09-10-20-06.fit***#slx99***Lahr/Schwarzwald***37,15***1013***02:18:30***16,1***FALSE
2023-08-05-15-16-11.fit***#slx99***Lahr/Schwarzwald***37,75***833***02:25:18***15,6***FALSE
2023-07-27-15-17-27.fit***#slx99***Lahr/Schwarzwald***40,11***943***02:16:25***17,6***FALSE
2023-07-24-16-43-34.fit***#slx99***Lahr/Schwarzwald***30,04***457***01:45:04***17,2***FALSE
2023-07-22-11-32-19.fit***#slx99***Lahr/Schwarzwald Marathon 1.9k***65,75***1943***04:22:12***15***TRUE
2023-07-21-14-32-35.fit***#slx99***Lahr/Schwarzwald***18,36***331***00:59:57***18,4***FALSE
2023-07-19-11-44-09.fit***#slx99***Lahr/Schwarzwald***41,59***1145***02:51:17***14,6***FALSE
2023-07-16-11-17-48.fit***#slx99***Lahr/Schwarzwald***22,8***702***01:29:20***15,3***FALSE
2023-07-15-09-48-04.fit***#slx99***Lahr/Schwarzwald***19,25***197***01:03:26***18,2***FALSE
2023-07-13-17-51-32.fit***#slx99***Lahr/Schwarzwald***24,08***337***01:21:28***17,7***FALSE
2023-07-07-15-42-31.fit***#slx99***Arbeit_ksw --RÜCK--***16,7***40***00:34:01***29,5***FALSE
2023-07-07-06-12-26.fit***#slx99***Arbeit_ksw --HIN--***16,58***48***00:36:37***27,2***FALSE
2023-07-05-16-17-04.fit***#slx99***Arbeit_ksw --RÜCK--***16,68***48***00:35:39***28,1***FALSE
2023-07-05-06-15-06.fit***#slx99***Arbeit_ksw --HIN--***16,69***49***00:44:10***22,7***FALSE
2023-07-04-16-14-42.fit***#slx99***Arbeit_ksw --RÜCK--***16,72***44***00:36:07***27,8***FALSE
2023-07-04-06-20-06.fit***#slx99***Arbeit_ksw --HIN--***16,73***51***00:39:38***25,3***FALSE
2023-06-28-16-23-59.fit***#slx99***Arbeit_ksw --RÜCK--***16,73***44***00:37:38***26,7***FALSE
2023-06-28-06-03-47.fit***#slx99***Arbeit_ksw --HIN--***16,73***46***00:37:18***26,9***FALSE
2023-06-27-15-48-19.fit***#slx99***Arbeit_ksw --RÜCK--***16,71***48***00:40:17***24,9***FALSE
2023-06-27-06-09-14.fit***#slx99***Arbeit_ksw --HIN--***16,75***52***00:37:33***26,8***FALSE
2023-06-25-17-35-58.fit***#slx99***Arbeit_ksw --RÜCK--***16,69***43***00:37:47***26,5***FALSE
2023-06-25-16-37-11.fit***#slx99***Arbeit_ksw --HIN--***16,67***50***00:36:18***27,6***FALSE
2023-06-14-17-08-05.fit***#slx99***Lahr/Schwarzwald***18,44***536***01:09:30***15,9***FALSE
2023-06-11-16-08-31.fit***#slx99***Lahr/Schwarzwald***30,06***842***01:55:05***15,7***FALSE
2023-06-04-14-06-07.fit***#slx99***Lahr/Schwarzwald***15,5***313***00:58:02***16***FALSE
2023-05-28-12-56-40.fit***#slx99***Dischingen 75/1400***75,06***1452***04:05:32***18,3***TRUE
2023-05-26-14-48-35.fit***#slx99***Tour um Dischingen***31,27***550***01:37:07***19,3***FALSE
2023-05-22-11-32-39.fit***#slx99***Tour um Dischingen***40,31***732***02:20:28***17,2***FALSE
2023-05-20-14-26-34.fit***#slx99***Tour um Dischingen***26,48***512***01:27:55***18,1***FALSE
2023-05-09-16-56-06.fit***#slx99***Tour um Dischingen***39,5***719***01:59:11***19,9***FALSE
2023-05-05-16-49-05.fit***#slx99***Tour um Dischingen***27,53***553***01:38:09***16,8***FALSE
2023-05-03-15-21-08.fit***#slx99***Tour um Dischingen***44,72***737***02:22:04***18,9***FALSE
2023-05-01-15-38-19.fit***#slx99***Tour um Dischingen***43,1***810***02:25:37***17,8***FALSE
2023-04-23-13-11-40.fit***#slx99***Freiburg im Breisgau***18,86***551***01:15:41***15***FALSE
2023-04-22-15-09-30.fit***#slx99***Freiburg im Breisgau***25,28***529***01:25:53***17,7***FALSE
